"o2region","full_name","long_code","count","area_km2"
"12-01","Caucasus and Middle East","12-01_caucasus_and_middle_east",2181,1381
"12-02","Middle East","12-02_middle_east",94,25
"13-01","Hissar Alay","13-01_hissar_alay",5340,1954
"13-02","Pamir (Safed Khirs / West Tarim)","13-02_pamir_safed_khirs_west_tarim",15744,10465
"13-03","West Tien Shan","13-03_west_tien_shan",14682,9299
"13-04","East Tien Shan (Dzhungaria)","13-04_east_tien_shan_dzhungaria",6255,3083
"13-05","West Kun Lun","13-05_west_kun_lun",7906,8086
"13-06","East Kun Lun (Altyn Tagh)","13-06_east_kun_lun_altyn_tagh",3854,3212
"13-07","Qilian Shan","13-07_qilian_shan",3256,1666
"13-08","Inner Tibet","13-08_inner_tibet",11185,8221
"13-09","Southeast Tibet","13-09_southeast_tibet",7391,4357
"14-01","Hindu Kush","14-01_hindu_kush",6857,3049
"14-02","Karakoram","14-02_karakoram",17559,21675
"14-03","West Himalaya","14-03_west_himalaya",13146,8350
"15-01","Central Himalaya","15-01_central_himalaya",6127,6494
"15-02","East Himalaya","15-02_east_himalaya",5503,5454
"15-03","Hengduan Shan","15-03_hengduan_shan",6957,4102
"16-01","Low-latitude Andes","16-01_low_latitude_andes",3647,1920
"16-02","Mexico","16-02_mexico",7,2
"16-03","East Africa","16-03_east_africa",36,4
"16-04","New Guinea","16-04_new_guinea",5,2
"17-01","Patagonia","17-01_patagonia",17454,24040
"17-02","Central Andes","17-02_central_andes",13180,3634
"18-01","New Zealand","18-01_new_zealand",3018,886
"19-01","Subantarctic (Pacific)","19-01_subantarctic_pacific",15,134
"19-02","South Shetlands and South Orkney","19-02_south_shetlands_and_south_orkney",401,3715
"19-03","Subantarctic (Atlantic)","19-03_subantarctic_atlantic",550,2475
"19-04","Subantarctic (Indian)","19-04_subantarctic_indian",489,796
"19-05","Balleny Islands","19-05_balleny_islands",50,694
"19-11","East Queen Maud Land 7A","19-11_east_queen_maud_land_7a",22,2681
"19-12","Amery Ice Shelf 7B","19-12_amery_ice_shelf_7b",1,305
"19-13","Wilkes Land 7C","19-13_wilkes_land_7c",7,2685
"19-14","Victoria Land 7D","19-14_victoria_land_7d",54,652
"19-15","Ross Ice Shelf 7E","19-15_ross_ice_shelf_7e",111,2619
"19-16","Marie Byrd Land 7F","19-16_marie_byrd_land_7f",63,17950
"19-17","Pine Island Bay 7G","19-17_pine_island_bay_7g",17,376
"19-18","Bellingshausen Sea 7H1","19-18_bellingshausen_sea_7h1",20,14861
"19-19","Alexander Island 7H2","19-19_alexander_island_7h2",119,61170
"19-20","West Antarctic Peninsula 7I1","19-20_west_antarctic_peninsula_7i1",637,9287
"19-21","Northeast Antarctic Peninsula 7I2","19-21_northeast_antarctic_peninsula_7i2",166,5377
"19-22","Southeast Antarctic Peninsula 7I3","19-22_southeast_antarctic_peninsula_7i3",6,1780
"19-23","Ronne-Filchner Ice Shelf 7J","19-23_ronne_filchner_ice_shelf_7j",0,0
"19-24","West Queen Maud Land 7K","19-24_west_queen_maud_land_7k",14,5878
"20-01","Antarctic Mainland","20-01_antarctic_mainland",0,0
"Global","","",274531,706744
